"","DHSCLUST","Aussie Group","Omaurci Sa","Alfa Service Limited Sarl","Somaesp Sarl","Rim Fish Meal","Mah El Turk Sarl","Xiangheshun-Mauritanie SA","Lemseafood","Atyfen","Sino-Rim","Africa Proteine","Mauritania Fishmeal Sarl","Continental Seafood Sa","MMOA Peche Farine Et Huile","SFHP Sarl","Ocean Proteine","Atlantic Proteine","Comapeche","Mouhit Al Baraka","Atlantic Peche","Sicop Industrie Sa","SMPC Sarl","Hongdong Intl Fishery Development Farine et Huile","Olvea Atlantic","Cofrima Proteine Sarl","MCF Sarl","SOREC Sa","Fimol Sarl","MTP Fish Sarl","SMVP Sa","MOCV Sarl","Moumena Fishing","Mauritania Business Sarl","Sahara Peche Sarl","Jin Zhuang Fishing","Proteine Seafood Sarl Farine & Huile","Inchiri Entreprenariat Farine & Huile","Not_identified","Not_identified","Sea Production","Barna Senegal","Afric Azote","Senegal Protein","Africa Feed","Omega Pelagic","Omega Fishing","Societe Des Produits Halieutiques (Sph Sarl)","Beal Meal","NDAM (Nouvelles Démarches Avicoles et Maritimes)","Nessim","Golden Lead Import/Export (Atlantic Fishmeal)","JXYG"
"1","SN_1_2014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,593.730014102412,590.730014102412,593.730014102412,590.730014102412,590.730014102412,590.730014102412,590.730014102412,590.730014102412,590.730014102412,590.730014102412,608.987373415293,590.730014102412,225.450793488833,54.9411254969542,4.82842712474619,2.41421356237309,51.9055915910215,100.01828996323,120.16042558696,396.356385079854,100.01828996323,47.698484809835,363.971608769004,368.557395206631,381.80003589375
"2","SN_9_2014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,578.087878478681,575.087878478681,578.087878478681,575.087878478681,575.087878478681,575.087878478681,575.087878478681,575.087878478681,575.087878478681,575.087878478681,593.345237791562,575.087878478681,209.808657865102,39.2989898732233,21.8137084989848,20.9852813742386,36.5416305603426,84.6543289325506,104.796464556282,380.992424049175,84.6543289325506,32.0563491861041,348.607647738325,353.193434175952,366.436074863071
"3","SN_4_2014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,590.780266634106,587.780266634106,590.780266634106,587.780266634106,587.780266634106,587.780266634106,587.780266634106,587.780266634106,587.780266634106,587.780266634106,606.037625946987,587.780266634106,222.501046020527,51.9913780286484,7.53553390593274,6.36396103067893,48.9558441227157,97.0685424949237,117.210678118655,393.406637611548,97.0685424949237,44.7487373415291,361.021861300698,365.607647738325,378.850288425444
"4","SN_26_2014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,518.722871427475,515.722871427475,518.722871427475,515.722871427475,515.722871427475,515.722871427475,515.722871427475,515.722871427475,515.722871427475,515.722871427475,533.980230740356,515.722871427475,171.154328932551,110.7695526217,155.254833995939,154.426406871193,113.355339059327,85.3259018078045,110.438600180013,326.462986797653,85.3259018078045,112.941125496954,300.007142674937,302.350288425444,315.592929112564
"5","SN_6_2014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,585.866053071733,582.866053071733,585.866053071733,582.866053071733,582.866053071733,582.866053071733,582.866053071733,582.866053071733,582.866053071733,582.866053071733,601.123412384614,582.866053071733,217.586832458154,47.0771644662753,11.0355339059327,10.0355339059327,44.0416305603426,92.1543289325506,112.296464556282,388.492424049175,92.1543289325506,39.8345237791561,356.107647738325,360.693434175952,373.936074863071
"6","SN_24_2014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,531.379725676968,528.379725676968,531.379725676968,528.379725676968,528.379725676968,528.379725676968,528.379725676968,528.379725676968,528.379725676968,528.379725676968,546.637084989848,528.379725676968,178.01219330882,99.6690475583121,143.325901807804,142.497474683058,101.426406871193,66.7695526217005,91.8822509939085,321.149278298668,66.7695526217005,101.840620433566,292.320851173921,294.663996924429,307.906637611548
"7","SN_5_2014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,592.815800540039,589.815800540039,592.815800540039,589.815800540039,589.815800540039,589.815800540039,589.815800540039,589.815800540039,589.815800540039,589.815800540039,608.07315985292,589.815800540039,224.536579926459,54.0269119345812,12.778174593052,10.3639610306789,50.9913780286484,99.1040764008565,119.246212024587,395.442171517481,99.1040764008565,46.7842712474619,363.057395206631,367.643181644258,380.885822331377
"8","SN_2_2014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,592.730014102412,589.730014102412,592.730014102412,589.730014102412,589.730014102412,589.730014102412,589.730014102412,589.730014102412,589.730014102412,589.730014102412,607.987373415293,589.730014102412,224.450793488833,53.9411254969543,4.41421356237309,2,50.9055915910215,99.0182899632296,119.16042558696,395.356385079854,99.0182899632296,46.698484809835,362.971608769004,367.557395206631,380.80003589375
"9","SN_19_2014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,533.320851173922,530.320851173922,533.320851173922,530.320851173922,530.320851173922,530.320851173922,530.320851173922,530.320851173922,530.320851173922,530.320851173922,548.578210486803,530.320851173922,167.526911934581,64.3553390593273,108.01219330882,107.183766184074,66.112698372208,43.9411254969543,77.0121933088197,342.504617357995,43.9411254969543,66.5269119345812,310.296464556282,314.882250993909,328.124891681028
"10","SN_3_2014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588.815800540039,585.815800540039,588.815800540039,585.815800540039,585.815800540039,585.815800540039,585.815800540039,585.815800540039,585.815800540039,585.815800540039,604.07315985292,585.815800540039,220.536579926459,50.0269119345812,4.91421356237309,3.91421356237309,46.9913780286484,95.1040764008565,115.246212024587,391.442171517481,95.1040764008565,42.7842712474619,359.057395206631,363.643181644258,376.885822331377
