"","DHSCLUST","NearFact","dist_NearFact","tt_NearFact","NearFact_L","Ldist_NearFact_L","Nb_factories"
"1","SN_1_2014","Senegal Protein","1936.04273026335","2.41421356237309",NA,NA,"25"
"2","SN_2_2014","Senegal Protein","1684.26100140072","2",NA,NA,"25"
"3","SN_3_2014","Senegal Protein","3646.40074545605","3.91421356237309",NA,NA,"25"
"4","SN_4_2014","Senegal Protein","4374.38555362411","6.36396103067893",NA,NA,"25"
"5","SN_5_2014","Senegal Protein","7089.16679585875","10.3639610306789",NA,NA,"25"
"6","SN_6_2014","Senegal Protein","6992.81460414306","10.0355339059327",NA,NA,"25"
"7","SN_7_2014","Senegal Protein","8961.01498530912","15.5355339059327",NA,NA,"25"
"8","SN_8_2014","Senegal Protein","10136.5444181768","17.1213203435596",NA,NA,"25"
"9","SN_9_2014","Senegal Protein","12251.5490919317","20.9852813742386",NA,NA,"25"
"10","SN_10_2014","NDAM (Nouvelles Démarches Avicoles et Maritimes)","22333.2463074764","23.8492424049175",NA,NA,"25"
"11","SN_11_2014","NDAM (Nouvelles Démarches Avicoles et Maritimes)","17514.7282074735","35.8137084989848",NA,NA,"25"
"12","SN_12_2014","Senegal Protein","10579.3827217591","16.9852813742386",NA,NA,"25"
"13","SN_13_2014","Senegal Protein","10296.0664515917","19.1568542494924",NA,NA,"25"
"14","SN_14_2014","Senegal Protein","11753.3325365395","21.278174593052",NA,NA,"25"
"15","SN_15_2014","Africa Feed","11642.6750064641","19.4350288425444",NA,NA,"25"
"16","SN_16_2014","Africa Feed","6764.20768263155","13.0710678118655",NA,NA,"25"
"17","SN_17_2014","NDAM (Nouvelles Démarches Avicoles et Maritimes)","16106.4089036957","16.7279220613579",NA,NA,"25"
"18","SN_18_2014","Barna Senegal","61143.8618818356","67.0416305603426",NA,NA,"25"
"19","SN_19_2014","Omega Pelagic","41138.3966200852","43.9411254969543",NA,NA,"25"
"20","SN_20_2014","Omega Pelagic","42344.3908847219","67.4411254969542",NA,NA,"25"
"21","SN_21_2014","Omega Pelagic","44235.0315250245","64.2695526217004",NA,NA,"25"
"22","SN_22_2014","Omega Pelagic","70197.5171902765","75.7401153701775",NA,NA,"25"
"23","SN_23_2014","Omega Pelagic","64245.2716543103","69.1837661840735",NA,NA,"25"
"24","SN_24_2014","Omega Pelagic","62082.416423918","66.7695526217005",NA,NA,"25"
"25","SN_25_2014","Omega Pelagic","60357.8912170041","65.1837661840735",NA,NA,"25"
