"","DHSCLUST","NearMarket","dist_NearMarket","tt_NearMarket","NearMarket_L","Ldist_NearMarket_L","Nb_markets"
"1","SN_1_2014","Dakar","1155.23635710719","1",NA,NA,"36"
"2","SN_2_2014","Dakar","134.398629654944","1",NA,NA,"36"
"3","SN_3_2014","Dakar","3189.65370875104","3.91421356237309",NA,NA,"36"
"4","SN_4_2014","Dakar","3275.17818466888","5.53553390593274",NA,NA,"36"
"5","SN_5_2014","Dakar","5706.01002914284","8.36396103067893",NA,NA,"34"
"6","SN_6_2014","Dakar","6407.11450931849","10.0355339059327",NA,NA,"36"
"7","SN_7_2014","Dakar","8829.74481686588","15.5355339059327",NA,NA,"36"
"8","SN_8_2014","Dakar","10106.6320706017","17.3639610306789",NA,NA,"36"
"9","SN_9_2014","Dakar","12632.0833055007","21.2279220613579",NA,NA,"36"
"10","SN_10_2014","Dakar","15122.5981060087","26.4350288425444",NA,NA,"37"
"11","SN_11_2014","Dakar","19339.3375871428","47.0563491861041",NA,NA,"37"
"12","SN_12_2014","Dakar","11010.2147486273","17.2279220613579",NA,NA,"36"
"13","SN_13_2014","Dakar","11012.7871577176","19.3994949366117",NA,NA,"36"
"14","SN_14_2014","Dakar","12491.8692775437","21.5208152801713",NA,NA,"36"
"15","SN_15_2014","Dakar","17709.0734928883","33.5060966544099",NA,NA,"37"
"16","SN_16_2014","Thies","28394.8272655493","30.7279220613579",NA,NA,"37"
"17","SN_17_2014","Dakar","22045.8517582059","34.7989898732233",NA,NA,"37"
"18","SN_18_2014","Thies","46731.9328319873","50.1126983722081",NA,NA,"39"
"19","SN_19_2014","Diourbel","32557.4829964016","34.8994949366117",NA,NA,"41"
"20","SN_20_2014","Diourbel","20166.4098304081","39.5710678118655",NA,NA,"42"
"21","SN_21_2014","Diourbel","23400.3880507377","43.5710678118655",NA,NA,"41"
"22","SN_22_2014","Diourbel","13926.6288175486","14.4142135623731",NA,NA,"41"
"23","SN_23_2014","Diourbel","2770.45814084401","2",NA,NA,"43"
"24","SN_24_2014","Diourbel","936.200664934548","1",NA,NA,"43"
"25","SN_25_2014","Diourbel","1397.35541406022","2",NA,NA,"43"
