"","hh_id","Aussie Group","Omaurci Sa","Alfa Service Limited Sarl","Somaesp Sarl","Rim Fish Meal","Mah El Turk Sarl","Xiangheshun-Mauritanie SA","Lemseafood","Atyfen","Sino-Rim","Africa Proteine","Mauritania Fishmeal Sarl","Continental Seafood Sa","MMOA Peche Farine Et Huile","SFHP Sarl","Ocean Proteine","Atlantic Proteine","Comapeche","Mouhit Al Baraka","Atlantic Peche","Sicop Industrie Sa","SMPC Sarl","Hongdong Intl Fishery Development Farine et Huile","Olvea Atlantic","Cofrima Proteine Sarl","MCF Sarl","SOREC Sa","Fimol Sarl","MTP Fish Sarl","SMVP Sa","MOCV Sarl","Moumena Fishing","Mauritania Business Sarl","Sahara Peche Sarl","Jin Zhuang Fishing","Proteine Seafood Sarl Farine & Huile","Inchiri Entreprenariat Farine & Huile","Not_identified","Not_identified","Sea Production","Barna Senegal","Afric Azote","Senegal Protein","Africa Feed","Omega Pelagic","Omega Fishing","Societe Des Produits Halieutiques (Sph Sarl)","Beal Meal","NDAM (Nouvelles Démarches Avicoles et Maritimes)","Nessim","Golden Lead Import/Export (Atlantic Fishmeal)","JXYG"
"1","2_521_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,590.462986797653,587.462986797653,590.462986797653,587.462986797653,587.462986797653,587.462986797653,587.462986797653,587.462986797653,587.462986797653,587.462986797653,605.720346110534,587.462986797653,286.333044482742,250.208152801713,291.865007051206,291.03657992646,246.894444302729,203.953318805774,214.923881554251,281.776695296638,203.953318805774,252.379725676967,306.261976670876,293.776695296638,290.190908859011
"2","1_355_4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439.994949366117,436.994949366117,439.994949366117,436.994949366117,436.994949366117,436.994949366117,436.994949366117,436.994949366117,436.994949366117,436.994949366117,455.252308678998,436.994949366117,136.40916292849,184.02438661764,235.965512114594,235.137084989848,199.379725676967,187.007142674937,213.391918985787,401.04877323528,187.007142674937,189.509667991878,394.475180106472,396.81832585698,409.462986797653
"3","1_477_10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,611.541197284456,608.541197284456,611.541197284456,608.541197284456,608.541197284456,608.541197284456,608.541197284456,608.541197284456,608.541197284456,608.541197284456,626.798556597337,608.541197284456,413.404112294607,462.190908859011,514.132034355965,513.303607231219,475.404112294607,445.717820793592,466.972654789532,551.198051533948,445.717820793592,467.676190233249,575.683332908187,563.198051533948,559.612265096321
"4","2_124_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,513.688383542069,420.600071787501,455.08535316174,454.256926036994,409.144227664785,359.374675043085,363.379725676967,116.882250993908,359.374675043085,420.771644662755,141.367532368147,128.882250993908,125.296464556282
"5","2_378_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371.867532368147,368.867532368147,371.867532368147,368.867532368147,368.867532368147,368.867532368147,368.867532368147,368.867532368147,368.867532368147,368.867532368147,387.124891681028,368.867532368147,70.8847763108502,208.021861300698,261.134559672906,260.30613254816,230.749783362056,243.566017177982,276.637084989848,507.004617357996,243.566017177982,213.850288425444,484.690908859011,487.034054609518,500.276695296638
"6","1_74_12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,558.931024229189,555.931024229189,558.931024229189,555.931024229189,555.931024229189,555.931024229189,555.931024229189,555.931024229189,555.931024229189,555.931024229189,574.188383542069,555.931024229189,190.651803615609,20.142135623731,34.3847763108502,33.556349186104,21.5563491861041,72.8406204335659,93.5685424949237,369.764501987817,72.8406204335659,12.8994949366117,337.379725676967,341.965512114594,355.208152801713
"7","2_187_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385.320851173922,382.320851173922,385.320851173922,382.320851173922,382.320851173922,382.320851173922,382.320851173922,382.320851173922,382.320851173922,382.320851173922,400.578210486802,382.320851173922,244.137084989848,355.901586977666,407.842712474621,407.014285349874,372.529003975636,361.913780286486,392.298556597336,567.08535316174,361.913780286486,361.386868351905,570.210244842768,572.553390593275,575.499566724113
"8","1_529_4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,662.648845022782,625.151370339723,0,0,620.523953341753,570.955410846829,581.925973595306,505.232539419354,570.955410846829,627.322943214977,529.717820793592,517.232539419354,513.646752981727
"9","2_245_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,642.0609665441,639.0609665441,642.0609665441,639.0609665441,639.0609665441,639.0609665441,639.0609665441,639.0609665441,639.0609665441,639.0609665441,657.318325856981,639.0609665441,341.931024229189,299.119841047145,339.462986797653,338.634559672907,294.492424049176,244.923881554252,255.894444302729,280.119841047145,244.923881554252,301.291413922399,304.605122421384,292.119841047145,288.534054609518
"10","2_458_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,542.700576850889,539.700576850889,542.700576850889,539.700576850889,539.700576850889,539.700576850889,539.700576850889,539.700576850889,539.700576850889,539.700576850889,557.95793616377,539.700576850889,359.735064736295,432.404112294607,484.345237791562,483.516810666816,447.759451353935,418.617315730204,439.872149726143,547.310749906157,418.617315730204,437.889393668846,571.796031280395,559.310749906157,555.72496346853
"11","2_431_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,467.81832585698,374.730014102412,409.215295476651,408.386868351905,363.274169979696,313.504617357996,324.475180106473,203.923881554251,313.504617357996,374.901586977666,228.40916292849,215.923881554251,212.338095116624
"12","2_156_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,515.379725676967,512.379725676967,515.379725676967,512.379725676967,512.379725676967,512.379725676967,512.379725676967,512.379725676967,512.379725676967,512.379725676967,530.637084989848,512.379725676967,173.610173055266,123.426406871193,168.740115370178,167.911688245431,126.840620433566,98.811183182043,123.923881554251,331.220346110534,98.811183182043,125.597979746447,308.906637611548,311.249783362056,324.492424049175
"13","1_224_9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,721.742207411232,718.742207411232,721.742207411232,718.742207411232,718.742207411232,718.742207411232,718.742207411232,718.742207411232,718.742207411232,718.742207411232,736.999566724113,718.742207411232,427.08535316174,396.717820793592,437.0609665441,436.232539419354,392.090403795623,342.521861300698,353.492424049176,350.019335983757,342.521861300698,398.889393668846,374.504617357996,362.019335983757,358.43354954613
"14","1_449_9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,543.124458405141,477.668614282425,516.497041407172,515.668614282425,471.526478658694,421.95793616377,432.928498912247,352.92135623731,421.95793616377,479.254400720052,377.406637611549,364.92135623731,361.335569799683
"15","1_451_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,476.269119345814,412.570634535978,451.399061660725,450.570634535978,406.428498912247,356.859956417323,367.8305191658,302.450793488833,356.859956417323,414.156420973605,326.936074863072,314.450793488833,310.865007051206
"16","1_9_10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,591.644227664785,588.644227664785,591.644227664785,588.644227664785,588.644227664785,588.644227664785,588.644227664785,588.644227664785,588.644227664785,588.644227664785,606.901586977666,588.644227664785,223.365007051206,52.8553390593273,4.91421356237309,3.53553390593274,49.8198051533946,97.9325035256027,118.074639149334,394.270598642227,97.9325035256027,45.6126983722081,361.885822331377,366.471608769004,379.714249456123
"17","1_440_12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482.055915910217,413.08535316174,451.913780286486,451.08535316174,406.943217538009,357.374675043084,368.345237791562,283.308657865102,357.374675043084,414.671139599367,307.793939239341,295.308657865102,291.722871427475
"18","2_547_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,647.50670939905,609.565583902096,648.394011026842,647.565583902096,603.423448278365,553.854905783441,564.825468531918,486.818325856981,553.854905783441,611.151370339723,511.303607231219,498.818325856981,495.232539419354
"19","2_326_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,538.404112294607,535.404112294607,538.404112294607,535.404112294607,535.404112294607,535.404112294607,535.404112294607,535.404112294607,535.404112294607,535.404112294607,553.661471607488,535.404112294607,171.539105243401,26.9705627484771,69.4558441227157,68.6274169979695,29.5563491861041,49.6274169979695,81.0416305603426,353.338095116624,49.6274169979695,28.8994949366117,320.953318805774,325.539105243401,338.78174593052
"20","1_453_8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,454.872149726143,385.07315985292,423.901586977666,423.07315985292,378.931024229189,329.362481734265,340.333044482742,258.651803615609,329.362481734265,386.658946290547,283.137084989848,270.651803615609,267.066017177982
"21","2_166_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502.894444302729,499.894444302729,502.894444302729,499.894444302729,499.894444302729,499.894444302729,499.894444302729,499.894444302729,499.894444302729,499.894444302729,518.15180361561,499.894444302729,164.438600180013,132.840620433566,178.982756057297,178.154328932551,137.911688245431,112.710678118655,137.823376490863,338.149278298668,112.710678118655,135.01219330882,319.977705423414,322.320851173921,335.563491861041
"22","2_528_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,661.234631460408,623.73715677735,0,0,619.10973977938,569.541197284456,580.511760032933,503.818325856981,569.541197284456,625.908729652603,528.303607231219,515.818325856981,512.232539419354
"23","2_384_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,575.007142674937,572.007142674937,575.007142674937,572.007142674937,572.007142674937,572.007142674937,572.007142674937,572.007142674937,572.007142674937,572.007142674937,590.264501987818,572.007142674937,216.183766184074,105.78174593052,140.267027304759,139.438600180013,94.3259018078044,44.556349186104,55.5269119345812,295.80613254816,44.556349186104,105.953318805774,266.977705423414,269.320851173921,282.563491861041
