"hh_cluster","hh_id","region","departement","urban_rural","hhweight","imp_water_wet","imp_water_dry","imp_cooking","imp_walls","imp_ceiling","imp_floors","toilet_imp","aircon_housing","w_heater","c_fan","armchairs","table_chairs","bed","s_mattres","e_iron","gas_elec_stove","gas_cylinder","non_e_blender","refrigerator","p_fan","tv","land_phone","mobile_p","wardrobes","carpet","microwave","freezer","washing_machine","aircon_asset","car","computer","printer","sat_dish","building_house","c_iron","radio","camera","tablet","unbuilt_land","e_foodprocesor","dvd","motorcycle","improved_stoves","gas_e_hotplate","canoe","v_cleaner","bicycle","hunting_rif","camcorder","guitar","gard_tools","video_camera","hifi","piano","generator","wealth_index_all","fresh_sardinella","fresh_barracuda","fresh_tilapia","fresh_other","smoked_keti_sardinella","smoked_sardinella","dried_fish","crabs","conserves","head_employment","any_adult_employed","any_adult_woman_employed","hh_size","gender_head_hh","any_adult_woman_literate","any_adult_literate","...1.x","NearFact","dist_NearFact","tt_NearFact","NearFact_L","Ldist_NearFact_L","Nb_factories","Sea Production","Afric Azote","Africa Feed","Omega Fishing","Min_tt_factories","Min_Factory_name","mean_tt_factories","mean_Min_tt_factories","...1.y","NearMarket","dist_NearMarket","tt_NearMarket","NearMarket_L","Ldist_NearMarket_L","Nb_markets","distance_to_marine_km","distance_to_inland_km","proximity_to_water_km","geometry"
"1_1","1_1_1",1,11,1,1749.83215332031,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.71309198102937,0,0,0,0,0,0,0,0,0,1,1,1,2,"women",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
"1_1","1_1_2",1,11,1,1749.83215332031,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.36743254698343,1,1,1,0,0,0,0,1,1,1,1,0,2,"men",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
"1_1","1_1_3",1,11,1,1749.83215332031,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.84585489318983,0,0,0,1,0,0,0,0,0,1,1,0,1,"men",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(NA, NA)
"1_101","1_101_12",2,22,2,134.128921508789,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.0484853114669,0,0,1,0,0,1,0,0,0,0,0,0,2,"women",1,1,425,"Societe Des Produits Halieutiques (Sph Sarl)",77857.9663605177,158.16652224137,NA,NA,13,554.972654789531,496.369624409202,450.428498912247,404.663996924429,404.663996924429,"Omega Fishing",476.608693758852,476.608693758852,425,"Ziguinchor",50096.2361301184,60.3553390593273,NA,NA,44,1.60594174763439,187.1951659426,1.60594174763439,c(-16.7273013, 12.3707649)
"1_101","1_101_2",2,22,2,134.128921508789,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.11501239842948,1,0,1,0,0,0,1,0,0,1,1,0,10,"men",1,1,2771,"Societe Des Produits Halieutiques (Sph Sarl)",77857.9663605177,158.16652224137,NA,NA,13,554.972654789531,496.369624409202,450.428498912247,404.663996924429,404.663996924429,"Omega Fishing",476.608693758852,476.608693758852,2771,"Ziguinchor",50096.2361301184,60.3553390593273,NA,NA,44,1.60594174763439,187.1951659426,1.60594174763439,c(-16.7273013, 12.3707649)
"1_101","1_101_4",2,22,2,134.128921508789,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.40450990580594,0,0,1,0,0,0,0,0,0,0,0,0,2,"women",0,0,1308,"Societe Des Produits Halieutiques (Sph Sarl)",77857.9663605177,158.16652224137,NA,NA,13,554.972654789531,496.369624409202,450.428498912247,404.663996924429,404.663996924429,"Omega Fishing",476.608693758852,476.608693758852,1308,"Ziguinchor",50096.2361301184,60.3553390593273,NA,NA,44,1.60594174763439,187.1951659426,1.60594174763439,c(-16.7273013, 12.3707649)
"1_101","1_101_3",2,22,2,134.128921508789,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.289004857992722,0,0,1,0,0,0,0,0,0,1,1,0,6,"men",0,0,4517,"Societe Des Produits Halieutiques (Sph Sarl)",77857.9663605177,158.16652224137,NA,NA,13,554.972654789531,496.369624409202,450.428498912247,404.663996924429,404.663996924429,"Omega Fishing",476.608693758852,476.608693758852,4517,"Ziguinchor",50096.2361301184,60.3553390593273,NA,NA,44,1.60594174763439,187.1951659426,1.60594174763439,c(-16.7273013, 12.3707649)
"1_101","1_101_11",2,22,2,134.128921508789,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.209570703465251,0,0,1,0,0,0,0,0,0,1,1,0,4,"men",0,1,1894,"Societe Des Produits Halieutiques (Sph Sarl)",77857.9663605177,158.16652224137,NA,NA,13,554.972654789531,496.369624409202,450.428498912247,404.663996924429,404.663996924429,"Omega Fishing",476.608693758852,476.608693758852,1894,"Ziguinchor",50096.2361301184,60.3553390593273,NA,NA,44,1.60594174763439,187.1951659426,1.60594174763439,c(-16.7273013, 12.3707649)
"1_101","1_101_7",2,22,2,134.128921508789,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.49845543199149,0,0,1,1,0,1,0,0,0,1,1,0,6,"men",0,1,5899,"Societe Des Produits Halieutiques (Sph Sarl)",77857.9663605177,158.16652224137,NA,NA,13,554.972654789531,496.369624409202,450.428498912247,404.663996924429,404.663996924429,"Omega Fishing",476.608693758852,476.608693758852,5899,"Ziguinchor",50096.2361301184,60.3553390593273,NA,NA,44,1.60594174763439,187.1951659426,1.60594174763439,c(-16.7273013, 12.3707649)
"1_101","1_101_1",2,22,2,134.128921508789,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.43074784894588,0,0,1,1,0,0,0,0,0,1,1,0,1,"men",0,1,3455,"Societe Des Produits Halieutiques (Sph Sarl)",77857.9663605177,158.16652224137,NA,NA,13,554.972654789531,496.369624409202,450.428498912247,404.663996924429,404.663996924429,"Omega Fishing",476.608693758852,476.608693758852,3455,"Ziguinchor",50096.2361301184,60.3553390593273,NA,NA,44,1.60594174763439,187.1951659426,1.60594174763439,c(-16.7273013, 12.3707649)
