"hh_id","hh_cluster","fresh_sardinella","fresh_barracuda","fresh_tilapia","fresh_other","smoked_keti_sardinella","smoked_sardinella","dried_fish","crabs","conserves"
"1_74_12","1_74",1,0,0,0,1,0,1,0,0
"2_378_1","2_378",1,0,0,0,0,1,0,0,0
"1_85_9","1_85",0,0,0,0,0,0,0,0,0
"2_521_1","2_521",1,0,0,0,1,0,0,0,0
"2_431_1","2_431",1,0,0,0,0,0,0,0,0
"2_458_1","2_458",1,0,0,0,0,0,1,0,0
"2_187_1","2_187",1,0,0,0,0,1,0,0,0
"1_477_10","1_477",1,0,0,1,0,0,1,0,0
"1_529_4","1_529",0,0,0,0,0,0,0,0,0
"2_156_1","2_156",1,0,0,0,0,0,1,0,0
"1_224_9","1_224",1,0,0,0,0,0,0,0,0
"2_245_1","2_245",1,0,0,0,1,0,1,0,0
"1_355_4","1_355",1,0,0,0,1,0,1,0,0
"2_166_1","2_166",1,0,0,0,1,0,1,0,0
"1_449_9","1_449",0,0,0,0,0,0,0,0,0
"2_326_1","2_326",1,1,0,0,0,0,0,0,0
"1_440_12","1_440",1,0,1,0,0,1,0,0,0
"1_355_8","1_355",1,0,0,1,0,0,1,0,0
"1_550_7","1_550",0,0,0,1,0,0,0,0,0
"2_384_1","2_384",0,0,0,1,1,0,1,0,0
"1_163_6","1_163",1,0,0,0,1,0,1,0,0
"1_491_12","1_491",1,0,0,0,0,0,0,0,0
"2_124_1","2_124",0,0,1,0,0,0,1,1,0
"1_9_10","1_9",1,1,0,1,1,1,1,1,0
"1_451_1","1_451",1,0,0,0,0,0,0,0,0
"2_467_1","2_467",1,0,0,0,1,0,1,0,0
"2_528_1","2_528",0,0,0,1,0,0,0,0,0
"2_504_1","2_504",1,0,0,0,1,0,1,0,0
"1_191_6","1_191",1,0,0,0,1,0,1,0,0
"1_159_5","1_159",1,0,0,0,0,0,1,0,0
"1_453_8","1_453",1,0,0,0,0,0,0,0,0
"2_547_1","2_547",0,0,0,0,1,0,0,0,0
"1_329_8","1_329",1,1,0,0,0,1,0,0,0
"2_67_1","2_67",0,0,0,0,0,0,0,0,0
"2_214_1","2_214",1,0,0,1,0,0,1,1,0
"1_319_11","1_319",1,0,0,0,1,0,1,0,0
"2_14_1","2_14",0,0,0,0,0,0,0,0,0
"1_137_2","1_137",1,0,0,0,1,0,0,0,0
"2_579_1","2_579",0,0,0,1,0,0,0,0,0
"2_142_1","2_142",1,0,0,1,0,0,1,0,0
"2_340_1","2_340",1,0,0,0,1,0,1,0,0
"1_91_8","1_91",0,0,1,1,0,0,1,0,0
"1_580_4","1_580",1,0,0,0,0,1,1,0,0
"1_47_4","1_47",1,0,0,1,0,0,1,0,0
"2_284_1","2_284",1,0,0,0,1,0,0,0,0
"1_514_3","1_514",1,0,0,0,1,0,0,0,0
"2_454_1","2_454",1,0,0,0,1,0,0,0,0
"1_413_12","1_413",1,0,0,0,0,0,1,0,0
"2_256_1","2_256",1,0,0,1,1,1,1,0,0
"2_113_1","2_113",1,0,1,1,0,0,0,0,0
"2_556_1","2_556",0,0,1,0,0,0,0,0,0
"1_329_5","1_329",1,1,0,1,0,0,1,0,0
"1_346_1","1_346",1,0,0,0,0,0,0,0,0
"2_105_1","2_105",0,0,1,0,0,0,0,0,0
"1_487_9","1_487",0,0,0,1,0,0,0,0,0
"2_558_1","2_558",0,0,0,0,0,0,0,0,0
"1_189_2","1_189",1,0,1,0,0,0,0,0,0
"1_59_10","1_59",1,0,0,0,1,0,1,0,0
"2_292_1","2_292",1,0,0,0,1,0,1,0,0
"1_321_6","1_321",1,0,0,0,1,0,1,0,0
"2_431_2","2_431",1,0,0,0,1,0,1,0,0
"2_292_2","2_292",1,0,0,1,0,1,0,0,0
"2_20_1","2_20",1,1,0,0,1,1,1,0,0
"2_492_1","2_492",1,0,0,0,1,0,1,0,0
"2_577_1","2_577",1,0,0,1,1,0,0,0,0
"2_380_1","2_380",1,0,0,1,0,1,0,0,0
"1_491_6","1_491",1,0,0,0,1,0,1,0,0
"2_274_1","2_274",1,0,0,1,1,1,0,0,0
"2_270_1","2_270",1,0,0,0,1,0,1,0,0
"1_597_3","1_597",1,0,1,0,0,0,0,0,0
"2_80_1","2_80",0,0,0,1,0,0,0,1,1
"2_391_1","2_391",1,0,0,0,0,0,0,0,0
"1_468_4","1_468",1,0,0,0,0,1,0,0,0
"2_403_1","2_403",1,0,0,0,0,0,0,0,0
"2_276_1","2_276",1,0,0,0,1,0,1,0,0
"1_377_7","1_377",1,0,0,0,1,0,0,0,0
"2_464_1","2_464",1,0,0,0,0,0,0,0,0
"1_275_10","1_275",1,0,0,0,1,0,1,0,0
"2_155_1","2_155",1,0,0,0,1,0,1,0,0
"2_598_1","2_598",1,0,1,0,0,0,1,0,0
"1_17_11","1_17",1,0,0,1,1,1,1,1,0
"2_441_1","2_441",1,0,0,0,0,0,0,0,0
"2_526_1","2_526",1,0,0,0,1,0,1,0,0
"2_176_1","2_176",0,0,1,1,0,0,0,0,0
"2_553_1","2_553",0,0,0,0,1,0,0,0,0
"2_188_1","2_188",0,0,0,0,0,0,0,0,0
"1_339_12","1_339",0,0,0,0,1,1,0,0,0
"1_362_3","1_362",0,0,0,0,1,0,0,0,0
"2_598_2","2_598",1,0,0,0,0,0,0,0,0
"2_460_1","2_460",1,1,0,0,0,0,0,0,0
"1_394_10","1_394",0,0,1,0,0,0,1,0,0
"2_324_1","2_324",1,0,0,0,0,0,0,0,0
"1_474_1","1_474",1,0,0,0,0,0,1,0,0
"1_442_12","1_442",1,0,1,0,0,0,0,0,0
"2_382_1","2_382",1,0,0,0,1,0,0,0,0
"2_412_1","2_412",1,0,1,0,0,0,0,0,0
"2_294_1","2_294",1,0,0,1,1,1,0,0,0
"2_172_1","2_172",1,0,0,1,1,1,0,0,0
"1_518_5","1_518",1,0,0,0,1,0,0,0,0
"2_207_1","2_207",1,0,0,1,0,0,0,0,0
"2_136_1","2_136",1,0,0,0,0,0,1,0,0
"2_382_2","2_382",1,0,0,0,0,0,0,0,0
"2_254_1","2_254",1,1,0,0,0,0,1,0,0
"2_216_1","2_216",1,1,0,0,0,0,0,0,0
"1_161_5","1_161",1,0,0,0,1,0,1,0,0
"1_112_11","1_112",1,0,1,0,0,1,1,0,0
"1_133_5","1_133",1,0,0,0,1,0,1,0,0
"2_225_1","2_225",1,0,0,0,0,0,0,0,0
"1_389_6","1_389",1,0,0,0,1,0,0,0,0
"2_238_1","2_238",0,0,0,0,0,0,0,0,0
"2_82_1","2_82",1,0,0,1,1,1,1,0,0
"1_554_1","1_554",1,0,0,0,1,0,0,0,0
"2_575_1","2_575",1,0,1,0,0,0,1,0,0
"2_203_1","2_203",0,0,1,1,1,0,1,0,0
"1_242_7","1_242",0,0,0,0,0,0,0,0,0
"1_239_5","1_239",1,0,0,0,1,0,0,0,0
"2_486_1","2_486",1,0,0,0,0,0,0,0,0
"2_369_1","2_369",0,0,1,1,1,1,0,0,0
"2_306_1","2_306",0,0,0,1,0,0,1,0,0
"1_565_10","1_565",1,0,1,0,0,0,0,0,0
"2_136_2","2_136",1,0,0,0,1,0,1,0,0
"2_417_1","2_417",1,0,0,0,1,0,1,0,0
"2_367_1","2_367",1,0,0,1,0,1,0,0,0
"2_424_1","2_424",1,0,0,0,1,0,0,0,0
"2_422_1","2_422",1,0,0,0,0,1,0,0,0
"2_280_1","2_280",1,0,0,0,0,0,0,0,0
"1_499_10","1_499",1,0,0,0,0,0,1,0,0
"1_152_12","1_152",1,0,0,0,0,0,1,0,0
"1_83_1","1_83",1,0,0,1,0,0,1,0,0
"1_402_3","1_402",1,0,0,0,1,0,1,1,0
"1_479_5","1_479",0,0,0,0,0,0,1,0,0
"1_483_7","1_483",1,0,0,0,0,0,0,0,0
"1_333_4","1_333",1,1,0,1,1,0,1,1,0
"2_417_2","2_417",1,1,0,0,1,0,1,0,0
"2_140_1","2_140",0,0,0,0,0,0,0,0,0
"1_545_7","1_545",1,0,0,0,0,0,0,0,0
"2_62_1","2_62",0,0,0,1,0,0,1,0,0
"1_19_7","1_19",0,0,0,0,0,0,0,0,0
"2_573_1","2_573",0,0,1,1,0,0,0,0,0
"1_408_5","1_408",1,0,0,0,1,0,1,0,0
"1_578_11","1_578",0,0,1,0,0,0,0,0,0
"1_411_4","1_411",0,1,1,0,0,1,0,1,0
"2_132_1","2_132",1,0,0,0,1,0,1,0,0
"2_405_1","2_405",1,0,1,1,1,0,1,0,0
"2_490_1","2_490",1,0,0,0,0,0,1,0,0
"2_480_1","2_480",0,0,0,0,0,0,0,0,0
"1_112_3","1_112",1,0,1,0,0,0,0,1,0
"2_298_1","2_298",1,0,0,1,1,0,0,0,0
"2_105_2","2_105",1,0,1,0,0,0,0,0,0
"2_102_1","2_102",0,0,1,0,0,1,0,0,0
"2_111_1","2_111",1,1,0,0,0,0,0,0,0
"1_321_7","1_321",1,0,0,0,0,1,0,0,0
"2_304_1","2_304",1,0,0,1,1,0,1,0,0
"1_413_5","1_413",1,0,0,0,1,0,1,0,0
"1_335_4","1_335",1,0,0,0,1,1,0,0,0
"2_314_1","2_314",1,0,0,0,1,0,1,0,0
"1_239_2","1_239",1,0,0,0,0,0,0,0,0
"1_508_6","1_508",1,0,0,0,1,0,1,0,0
"1_275_5","1_275",0,0,0,0,1,0,1,0,0
"2_542_1","2_542",1,0,0,0,1,0,0,0,0
"2_192_1","2_192",1,0,0,0,0,0,1,0,0
"1_398_2","1_398",1,0,0,0,1,0,0,0,0
"1_61_11","1_61",0,0,1,1,0,1,1,0,0
"1_479_4","1_479",0,0,0,1,0,0,1,0,0
"1_574_2","1_574",0,0,1,0,1,0,1,0,0
"2_42_1","2_42",1,0,0,0,0,0,0,0,0
"1_366_2","1_366",1,0,0,1,0,0,0,1,0
"1_281_1","1_281",1,0,1,0,1,0,0,0,0
"2_10_1","2_10",1,1,0,1,1,0,1,1,0
"2_236_1","2_236",1,0,0,0,0,0,0,0,0
"2_282_1","2_282",1,0,0,0,1,0,1,0,0
"1_137_3","1_137",1,0,0,0,1,0,1,0,0
"1_127_12","1_127",1,0,0,0,1,0,1,1,0
"1_366_9","1_366",1,0,0,0,1,0,1,0,0
"1_505_7","1_505",0,0,0,0,1,0,0,0,0
"1_283_3","1_283",1,0,0,0,1,0,1,0,0
"2_142_2","2_142",1,0,0,0,1,0,1,0,0
"2_196_1","2_196",0,0,0,0,1,0,1,0,0
"1_177_7","1_177",0,0,1,0,1,1,1,0,0
"2_482_1","2_482",1,0,0,0,0,0,0,0,0
"1_477_7","1_477",1,0,0,0,1,0,1,0,0
"1_341_8","1_341",1,0,0,0,1,1,0,0,0
"1_271_6","1_271",1,0,0,0,1,0,1,0,0
"1_127_6","1_127",1,0,0,0,0,0,1,0,0
"2_433_1","2_433",1,0,0,0,0,0,0,0,0
"1_273_9","1_273",1,0,0,0,1,0,0,0,0
"2_399_1","2_399",1,0,0,0,1,0,1,0,0
"1_434_9","1_434",1,0,0,0,0,0,0,0,0
"2_292_3","2_292",1,0,1,0,0,0,1,0,0
"1_423_1","1_423",1,0,0,1,1,0,1,0,0
"1_199_10","1_199",1,0,0,0,1,0,1,0,0
"1_249_11","1_249",0,0,0,0,1,0,0,0,0
"2_123_1","2_123",1,0,1,0,0,0,0,0,0
"1_157_6","1_157",1,0,0,0,0,0,1,0,0
"1_85_12","1_85",1,0,0,1,0,0,1,0,0
"2_272_1","2_272",1,0,0,0,0,0,1,0,0
"1_400_4","1_400",1,0,1,0,0,0,0,0,0
"2_308_1","2_308",1,0,0,0,0,0,0,0,0
"2_496_1","2_496",1,0,0,1,0,0,1,0,0
"1_557_11","1_557",0,0,1,0,0,0,0,0,0
"2_435_1","2_435",0,0,1,0,1,0,0,0,0
"2_351_1","2_351",1,0,0,0,1,0,1,0,0
"1_161_4","1_161",1,0,0,1,1,0,1,0,0
"2_46_1","2_46",1,0,0,1,0,0,1,0,0
"1_576_3","1_576",0,0,1,0,0,0,0,0,0
"2_111_2","2_111",1,1,1,0,0,0,0,0,0
"2_190_1","2_190",1,0,0,0,0,0,1,0,0
"2_117_1","2_117",1,0,1,0,0,0,0,0,0
"2_26_1","2_26",1,0,1,1,0,1,1,0,0
"1_415_1","1_415",0,0,1,1,1,0,0,0,0
"1_237_12","1_237",0,0,0,1,1,0,0,0,0
"2_534_1","2_534",0,0,0,0,0,0,0,0,0
"1_459_4","1_459",1,0,0,0,0,0,0,0,0
"2_250_1","2_250",0,0,0,0,0,0,0,0,0
"1_597_12","1_597",0,0,0,0,0,0,0,0,0
"2_168_1","2_168",1,0,0,0,1,0,1,0,0
"2_146_1","2_146",1,0,0,0,0,0,1,0,0
"1_429_6","1_429",1,0,0,0,0,0,0,0,0
"1_200_3","1_200",1,0,0,0,0,0,0,1,0
"2_304_2","2_304",0,1,1,1,0,1,1,1,0
"1_461_3","1_461",1,0,0,0,0,0,0,0,0
"2_88_1","2_88",0,0,0,0,1,0,0,0,0
"2_407_1","2_407",1,0,0,1,0,0,1,0,0
"2_276_2","2_276",1,0,0,0,0,0,1,0,0
"2_452_1","2_452",0,0,1,0,0,0,0,0,0
"2_28_1","2_28",0,1,0,0,0,0,0,0,0
"2_4_1","2_4",0,0,0,0,0,0,0,0,0
"2_342_1","2_342",1,0,0,0,1,0,1,0,0
"1_339_9","1_339",0,0,0,0,1,1,0,0,0
"1_154_7","1_154",1,0,1,0,1,0,1,0,0
"2_181_1","2_181",1,0,0,1,1,0,0,0,0
"2_111_3","2_111",1,0,1,1,0,0,0,0,0
"1_578_6","1_578",1,0,1,0,0,0,0,0,0
"1_489_2","1_489",0,0,0,0,1,1,0,0,0
"2_296_1","2_296",1,0,0,1,0,0,1,0,0
"2_588_1","2_588",0,0,0,1,0,0,1,0,0
"2_94_1","2_94",1,0,0,0,0,0,0,0,0
"2_365_1","2_365",1,0,0,1,1,0,1,0,0
"1_411_6","1_411",1,0,1,0,1,0,1,0,0
"2_201_1","2_201",1,0,0,1,0,0,1,0,0
"2_109_1","2_109",0,1,1,1,0,0,1,0,0
"1_206_9","1_206",1,0,0,1,1,1,1,0,0
"1_179_2","1_179",1,0,1,0,0,0,1,0,0
"1_103_10","1_103",0,1,0,0,0,0,0,0,0
"1_133_4","1_133",1,0,0,0,1,0,1,0,0
"2_88_2","2_88",0,0,1,0,0,0,0,0,0
"1_199_5","1_199",0,0,0,0,0,0,0,0,0
"2_170_1","2_170",1,0,0,0,0,0,1,0,0
