"hh_id","head_employment","any_adult_employed","any_adult_woman_employed","hh_size","gender_head_hh","any_adult_woman_literate","any_adult_literate"
"1_1_1",1,1,1,2,"women",1,1
"1_1_2",1,1,0,2,"men",1,1
"1_1_3",1,1,0,1,"men",0,1
"1_101_1",1,1,0,1,"men",0,1
"1_101_10",1,1,1,4,"women",1,1
"1_101_11",1,1,0,4,"men",0,1
"1_101_12",0,0,0,2,"women",1,1
"1_101_2",1,1,0,10,"men",1,1
"1_101_3",1,1,0,6,"men",0,0
"1_101_4",0,0,0,2,"women",0,0
"1_101_5",1,1,0,7,"men",0,1
"1_101_6",0,1,1,7,"men",0,1
"1_101_7",1,1,0,6,"men",0,1
"1_101_8",1,1,0,6,"men",0,0
"1_101_9",1,1,0,8,"men",1,1
"1_103_1",0,1,1,6,"men",0,1
"1_103_10",0,1,1,5,"women",1,1
"1_103_11",0,1,0,4,"women",0,0
"1_103_12",1,1,1,2,"women",1,1
"1_103_2",1,1,0,6,"men",1,1
"1_103_3",1,0,0,2,"women",1,1
"1_103_4",1,1,1,3,"women",1,1
"1_103_5",0,1,0,9,"women",1,1
"1_103_6",1,1,1,7,"women",1,1
"1_103_7",0,1,1,6,"men",1,1
"1_103_8",1,1,0,2,"men",0,0
"1_103_9",0,0,0,5,"men",0,0
"1_104_1",1,1,1,5,"men",1,1
"1_104_10",1,1,0,8,"men",1,1
"1_104_11",1,1,1,8,"women",1,1
"1_104_12",1,1,0,6,"men",1,1
"1_104_2",1,1,1,11,"men",1,1
"1_104_3",1,1,1,2,"women",0,0
"1_104_4",0,0,0,2,"women",1,1
"1_104_5",1,1,1,11,"men",1,1
"1_104_6",1,1,0,4,"men",0,1
"1_104_7",0,0,0,5,"men",1,1
"1_104_8",1,1,0,5,"men",1,1
"1_104_9",1,1,1,20,"men",1,1
"1_106_1",1,1,0,8,"men",1,1
"1_106_10",1,1,0,7,"men",0,1
"1_106_11",1,1,1,8,"men",1,1
"1_106_12",1,1,1,3,"women",0,1
"1_106_2",1,1,0,11,"men",1,1
"1_106_3",0,1,1,11,"men",1,1
"1_106_4",1,1,1,8,"men",0,1
"1_106_5",0,1,1,8,"men",1,1
"1_106_6",1,1,1,6,"women",1,1
"1_106_7",1,1,1,5,"men",1,1
"1_106_8",1,1,1,10,"women",1,1
"1_106_9",0,1,0,5,"men",0,1
"1_108_1",1,1,1,9,"women",1,1
"1_108_10",1,1,1,4,"women",0,1
"1_108_11",1,1,0,10,"men",1,1
"1_108_12",1,1,1,6,"men",0,1
"1_108_2",1,1,1,14,"men",1,1
"1_108_3",1,1,0,5,"men",1,1
"1_108_4",0,0,0,5,"women",0,1
"1_108_5",0,0,0,7,"women",1,1
"1_108_6",1,1,0,3,"men",0,1
"1_108_7",0,1,1,6,"men",1,1
"1_108_8",0,1,1,14,"men",1,1
"1_108_9",1,1,1,3,"women",1,1
"1_11_1",1,1,0,3,"men",0,1
"1_11_10",0,0,0,5,"women",1,1
"1_11_11",1,1,0,1,"men",0,1
