"country","hhid","logem","mur","toit","sol","eauboi_ss","eauboi_sp","elec_ac","elec_ur","elec_ua","ordure","toilet","eva_toi","eva_eau","tv","fer","frigo","cuisin","ordin","decod","car","superf","grosrum","petitrum","porc","lapin","volail","sh_id_demo","sh_co_natu","sh_co_eco","sh_id_eco","sh_co_vio","sh_co_oth"
"SEN",1001,3,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",1002,3,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,,0,0,0,0,0,0,0,0,0,0,0
"SEN",1003,3,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,,0,0,0,0,0,0,0,0,0,0,0
"SEN",2001,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,,0,4,0,0,0,1,0,0,0,0,0
"SEN",2002,3,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",2003,3,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0
"SEN",2004,3,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",2005,3,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0
"SEN",2006,3,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",2007,3,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,0,,0,0,0,0,0,1,0,0,0,0,0
"SEN",2008,3,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",2009,3,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",2010,3,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,1,0,,0,0,0,0,0,1,0,0,0,0,0
"SEN",2011,3,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0
"SEN",2012,3,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",3001,3,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,,0,0,0,0,0,0,0,0,0,0,0
"SEN",3002,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",3003,3,1,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",3004,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,,0,3,0,0,0,1,0,0,1,0,0
"SEN",3005,4,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",3006,3,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",3007,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",3008,3,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0
"SEN",3009,3,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",3010,3,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,,0,0,0,0,0,1,0,0,0,0,0
"SEN",4001,3,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",4002,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,,0,4,0,0,300,0,0,0,0,0,0
"SEN",4003,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,,0,0,0,0,0,1,0,0,0,0,0
"SEN",4004,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",4005,3,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",4006,3,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",4007,3,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0
"SEN",4008,3,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0
"SEN",4009,3,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0
"SEN",4010,3,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
