"country","year","hhid","grappe","menage","vague","zae","region","milieu","hhweight","hhsize","eqadu1","eqadu2","hgender","hage","hmstat","hreligion","hnation","halfab","heduc","hdiploma","hhandig","hactiv7j","hactiv12m","hbranch","hsectins","hcsp","dali","dnal","dtot","pcexp","zzae","zref","def_spa","def_temp"
"SEN",2018,1001,1,1,1,1,1,1,1749.83215332031,2,1.32000005245209,1.61214470863342,2,59,1,1,7,1,3,1,0,1,1,6,3,4,1978488.125,13139233.1726074,15117721,6440507,391340.34375,333440.5,1.17364370822906,1.01466369628906
"SEN",2018,1002,1,2,1,1,1,1,1749.83215332031,2,1.45000004768372,1.61214470863342,1,59,2,2,12,1,9,6,0,1,1,6,3,1,1886312.73730469,8894984.91711426,10781298,4593088,391340.34375,333440.5,1.17364370822906,1.01178658008575
"SEN",2018,1003,1,3,1,1,1,1,1749.83215332031,1,1,1,1,27,1,2,7,1,9,10,0,1,1,11,1,7,387989.2109375,5055662.80078125,5443652,4638249,391340.34375,333440.5,1.17364370822906,1.01466369628906
"SEN",2018,2001,2,1,2,1,1,1,266.317016601563,10,7.66000008583069,5.53945875167847,1,85,2,1,7,1,3,0,0,5,3,,,,6568517.93890381,4889539.01123047,11458057,976280.75,391340.34375,333440.5,1.17364370822906,0.991646707057953
"SEN",2018,2002,2,2,2,1,1,1,266.317016601563,6,4.27999997138977,3.24624681472778,1,40,2,1,7,0,1,0,0,1,1,6,3,4,2362250.44970703,3930703.23516846,6292953.5,893649.0625,391340.34375,333440.5,1.17364370822906,0.991646707057953
"SEN",2018,2003,2,3,2,1,1,1,266.317016601563,4,3.14000004529953,2.44471025466919,2,68,5,1,7,1,1,0,0,5,3,,,,458985.56817627,708967.668334961,1167953.25,248787.859375,391340.34375,333440.5,1.17364370822906,0.991646707057953
"SEN",2018,2004,2,4,2,1,1,1,266.317016601563,3,2.51999998092651,2.19882225990295,1,31,1,2,11,1,9,10,0,1,1,9,1,6,4208263.30200195,11648846.6986694,15857110,4503669.5,391340.34375,333440.5,1.17364370822906,0.991646707057953
"SEN",2018,2005,2,5,2,1,1,1,266.317016601563,2,1.4200000166893,1.61214470863342,2,54,2,1,7,0,1,0,0,1,1,11,5,5,665163.4453125,527948.479003906,1193111.875,508293.90625,391340.34375,333440.5,1.17364370822906,0.991646707057953
"SEN",2018,2006,2,6,2,1,1,1,266.317016601563,3,2.11000001430511,2.03320145606995,2,67,5,1,7,1,3,0,0,5,3,,,,3116803.48022461,2573136.36975098,5689940,1616032.75,391340.34375,333440.5,1.17364370822906,0.991646707057953
"SEN",2018,2007,2,7,2,1,1,1,266.317016601563,1,0.759999990463257,1,2,42,1,2,7,1,4,1,0,1,1,6,3,9,1885665.50463867,3751641.10839844,5637306.5,4803252,391340.34375,333440.5,1.17364370822906,0.991646707057953
"SEN",2018,2008,2,8,2,1,1,1,266.317016601563,4,3.1700000166893,2.44471025466919,1,51,2,1,7,0,3,0,0,1,1,7,3,3,2250740.14550781,4682755.10144043,6933495,1476916.5,391340.34375,333440.5,1.17364370822906,0.991646707057953
"SEN",2018,2009,2,9,2,1,1,1,266.317016601563,1,1,1,1,50,2,1,7,0,1,0,0,1,1,8,3,4,464036.943359375,763104.047546387,1227141,1045582.25,391340.34375,333440.5,1.17364370822906,0.991646707057953
"SEN",2018,2010,2,10,2,1,1,1,266.317016601563,3,2.27999997138977,2.03320145606995,2,43,2,1,7,0,1,0,0,1,1,6,3,9,1350220.45263672,2038398.65930176,3388619,962421.25,391340.34375,333440.5,1.17364370822906,0.991646707057953
"SEN",2018,2011,2,11,2,1,1,1,266.317016601563,1,0.790000021457672,1,1,57,1,1,11,0,1,0,0,1,1,10,3,9,567886.587402344,222058.509368896,789945.125,673070.625,391340.34375,333440.5,1.17364370822906,0.991646707057953
"SEN",2018,2012,2,12,2,1,1,1,266.317016601563,6,4.51999998092651,3.40375375747681,2,39,2,1,7,1,1,0,0,1,1,4,3,9,1742721.22814941,2195754.83331299,3938476,559294.6875,391340.34375,333440.5,1.17364370822906,0.991646707057953
"SEN",2018,3001,3,1,1,1,1,1,533.025817871094,7,5.3400000333786,3.79408812522888,1,52,2,1,7,1,9,8,0,1,1,11,1,1,6001488.98510742,16983893.5096436,22985382,2797804.75,391340.34375,333440.5,1.17364370822906,1.01466369628906
"SEN",2018,3002,3,2,1,1,1,1,533.025817871094,3,2.41000002622604,2.03320145606995,1,54,2,1,7,1,9,6,0,1,1,5,3,10,1821750.73388672,11939581.2099304,13761332,3908435.25,391340.34375,333440.5,1.17364370822906,1.01466369628906
"SEN",2018,3003,3,3,1,1,1,1,533.025817871094,1,1,1,1,49,6,1,7,0,1,0,0,1,1,9,3,5,960979.912597656,554466.365753174,1515446.25,1291232,391340.34375,333440.5,1.17364370822906,1.01466369628906
"SEN",2018,3004,3,4,1,1,1,1,533.025817871094,8,6.15000003576279,4.78946924209595,2,83,5,1,7,0,1,0,1,5,3,,,,3160656.10229492,4368264.0289917,7528920,801874.5625,391340.34375,333440.5,1.17364370822906,1.01466369628906
