"vague","grappe","menage","s07aq00","s07aq01b","s07aq02b","s07aq03b","s07aq04b","s07aq05b","s07aq06b","s07aq07b","s07aq08b","s07aq09b","s07aq10b","s07aq11b","s07aq12b","s07aq13b","s07aq14b","s07aq15b","s07aq16b","s07aq17b","s07aq18b","s07aq19b","s07aq20b","s07aq21b"
1,74,12,10,4,,,4,,,1,8000,,4,,,4,,,4,,,4,,
2,378,1,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
1,85,9,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,521,1,1,4,,,4,,,4,,,1,1500,,1,800,,1,900,,4,,
2,431,1,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,458,1,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,187,1,3,4,,,4,,,4,,,4,,,4,,,4,,,4,,
1,477,10,1,1,12600,,4,,,4,,,4,,,4,,,4,,,4,,
1,529,4,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,156,1,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
1,224,9,2,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,245,1,7,4,,,4,,,1,6000,,4,,,4,,,4,,,4,,
1,355,4,1,1,2800,,4,,,1,4700,,4,,,4,,,4,,,4,,
2,166,1,1,1,200,,4,,,4,,,4,,,2,,400,4,,,4,,
1,449,9,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,326,1,1,4,,,4,,,1,1200,,4,,,4,,,4,,,4,,
1,440,12,1,1,800,,4,,,4,,,1,200,,4,,,1,700,,4,,
1,355,8,6,4,,,4,,,4,,,4,,,4,,,4,,,4,,
1,550,7,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,384,1,2,4,,,4,,,4,,,1,700,,4,,,4,,,4,,
1,163,6,2,4,,,4,,,4,,,1,500,,4,,,4,,,4,,
1,491,12,2,1,4200,,4,,,4,,,4,,,4,,,4,,,4,,
2,124,1,3,1,3100,,4,,,4,,,4,,,4,,,1,2500,,4,,
1,9,10,4,4,,,4,,,4,,,1,3000,,1,4200,,1,2000,,4,,
1,451,1,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,467,1,7,2,,1500,2,,5000,2,,5000,4,,,4,,,4,,,4,,
2,528,1,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,504,1,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
1,191,6,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
1,159,5,1,4,,,2,,,4,,,1,650,,1,100,,4,,,4,,
1,453,8,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,547,1,2,4,,,4,,,4,,,4,,,4,,,4,,,4,,
1,329,8,2,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,67,1,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,214,1,6,4,,,4,,,4,,,4,,,4,,,4,,,4,,
1,319,11,2,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,14,1,1,1,3500,,1,7000,,1,3500,,1,350,,2,,125,4,,,4,,
1,137,2,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,579,1,4,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,142,1,3,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,340,1,1,1,1400,,4,,,4,,,4,,,4,,,4,,,4,,
1,91,8,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
