"vague","grappe","menage","s01q00a","s07aq01","s07aq02","s07aq03","s07aq04","s07aq05","s07aq06","s07aq07","s07aq08","s07aq09","s07aq10","s07aq11","s07aq12","s07aq13","s07aq14","s07aq15","s07aq16","s07aq17","s07aq18","s07aq19","s07aq20","s07aq21"
1,74,12,3,4,,,4,,,1,1200,,4,,,2,,500,1,500,,4,,
1,74,12,5,4,,,4,,,4,,,1,250,,4,,,1,100,,4,,
1,74,12,8,4,,,4,,,4,,,1,100,,4,,,1,200,,4,,
1,74,12,7,4,,,4,,,4,,,1,350,,4,,,4,,,4,,
1,74,12,1,4,,,4,,,4,,,4,,,2,,500,1,300,,4,,
1,74,12,9,4,,,4,,,4,,,4,,,4,,,4,,,4,,
1,74,12,13,4,,,4,,,4,,,4,,,4,,,4,,,4,,
1,74,12,10,2,,200,2,,500,4,,,4,,,2,,600,4,,,4,,
1,74,12,6,4,,,4,,,4,,,1,200,,4,,,4,,,4,,
1,74,12,11,4,,,4,,,4,,,4,,,4,,,1,350,,4,,
1,74,12,2,4,,,4,,,4,,,4,,,1,600,,4,,,4,,
1,74,12,4,4,,,4,,,4,,,4,,,2,,500,1,300,,4,,
1,74,12,12,4,,,4,,,4,,,1,350,,4,,,4,,,4,,
2,378,1,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,378,1,2,4,,,4,,,4,,,4,,,4,,,4,,,4,,
1,85,9,1,1,1100,,1,3500,,1,4000,,4,,,1,350,,1,1400,,4,,
2,521,1,1,1,2000,,4,,,1,3000,,1,600,,1,600,,1,500,,4,,
2,521,1,3,4,,,4,,,4,,,4,,,4,,,2,,700,4,,
2,521,1,6,2,,1500,4,,,2,,1900,2,,300,2,,100,2,,600,4,,
2,521,1,2,1,2150,,4,,,1,2850,,1,575,,2,,250,1,650,,4,,
2,521,1,5,4,,,4,,,2,,1000,2,,850,2,,200,2,,400,4,,
2,521,1,7,4,,,4,,,4,,,2,,425,4,,,2,,800,4,,
2,521,1,4,2,,600,4,,,4,,,2,,500,4,,,2,,350,4,,
2,431,1,7,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,431,1,5,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,431,1,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,431,1,6,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,431,1,3,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,431,1,4,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,431,1,2,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,458,1,1,4,,,1,2500,,2,,2000,4,,,2,,500,4,,,4,,
