"vague","grappe","menage","s11q00","s11q01","s11q02","s11q03__1","s11q03__2","s11q03__3","s11q04","s11q05","s11q06","s11q07","s11q08","s11q09a","s11q09b__0","s11q09b__1","s11q09b__2","s11q09b__3","s11q09b__4","s11q09b__5","s11q09b__6","s11q09b__7","s11q09b__8","s11q09b__9","s11q09b__10","s11q09b__11","s11q09b__12","s11q09b__13","s11q09b__14","s11q09b__15","s11q10","s11q11","s11q12","s11q13","s11q14","s11q15","s11q16","s11q17","s11q18","s11q19","s11q20","s11q21","s11q22","s11q23","s11q24a","s11q24b","s11q25","s11q26","s11q27a","s11q27b","s11q28","s11q29a","s11q29b_heure","s11q29b_minute","s11q30","s11q31a","s11q31b_heure","s11q31b_minutes","s11q32","s11q33__1","s11q33__2","s11q33__3","s11q33__4","s11q33__5","s11q33__6","s11q33__7","s11q34","s11q35","s11q36","s11q37a","s11q37b","s11q38","s11q39","s11q40","s11q41","s11q42","s11q43","s11q44","s11q45a","s11q45b","s11q46","s11q47","s11q48a","s11q48b","s11q49","s11q50","s11q51","s11q52a","s11q52b","s11q53__1","s11q53__2","s11q53__3","s11q53__4","s11q53__5","s11q53__6","s11q53__7","s11q53__8","s11q54","s11q55","s11q56","s11q57","s11q58","s11q59","s11q60","s11q61"
1,74,12,10,3,3,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,5,5,2,,2,,2,1,8,2,2,,,,2,,3,8,100,6,0,5,100,6,0,5,2,,,,,,,,1,3,1,5750,3,1,2,,,,2,,,,2,,,,,2,,,,1,0,0,0,0,0,0,0,2,8,1,1,2,2,4,2
2,378,1,1,3,2,0,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,3,2,2,,,,1,3000,4,4,150,10,0,20,150,10,0,35,2,,,,,,,,4,,,,,6,,,,,2,,,,2,,,,,2,,,,0,1,0,0,0,0,0,0,5,4,1,3,4,2,4,2
1,85,9,1,2,1,0,0,0,5,20000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,2,,,,1,1500,3,3,30,2,0,2,10,2,0,2,2,,,,,,,,1,3,2,4000,2,1,2,,,,2,,,,2,,,,,1,3,2000,2,0,0,0,1,0,0,0,0,2,4,1,3,2,1,4,
2,521,1,1,3,3,0,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,3,2,1,2,6300,2,2,,2,2,0,,,,0,,,,2,,,,,,,,2,2,5,5000,2,2,,,,,2,,,,2,,,,,2,,,,2,1,0,0,0,0,0,0,5,9,2,,4,2,4,
2,431,1,1,3,3,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,4,5,2,,2,,2,6,2,3,2,,,,2,,6,8,15,1,0,1,15,1,0,1,1,0,0,1,0,0,0,0,2,,1,2000,3,1,1,2,2,4,2,,,,2,,,,,2,,,,1,0,0,0,0,0,0,0,5,8,2,,5,2,4,2
2,458,1,1,3,2,0,0,0,5,12500,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,2,1,2,2000,3,2,,2,2,0,,,,0,,,,2,,,,,,,,1,2,2,1500,1,1,1,3,1,2,2,,,,2,,,,,2,,,,0,1,0,0,0,0,0,0,5,8,1,3,4,5,4,2
2,187,1,3,3,3,0,0,0,3,,,,,2,,,,,,,,,,,,,,,,,1,1,,,,,2,,2,1,3,2,1,,2500,3,2,,1,1,0,,,,0,,,,2,,,,,,,,1,,1,15000,3,1,1,1,1,5,2,,,,2,,,,,1,,2000,2,0,1,0,0,0,0,0,0,2,3,2,,4,1,4,
1,477,10,1,3,7,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,5,5,2,,2,,2,7,3,3,1,2,7500,3,2,,2,2,0,,,,0,,,,2,,,,,,,,4,,,,,4,,,,,2,,,,2,,,,,2,,,,0,1,0,0,0,0,0,0,5,8,2,,7,5,4,3
1,529,4,1,3,1,0,0,0,5,15000,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,3,2,1,2,7300,3,2,,5,1,100,2,0,2,0,,,,2,,,,,,,,1,3,1,2500,3,1,2,,,,2,,,,2,,,,,1,2,10000,2,0,0,2,1,0,0,0,0,2,7,1,5,4,2,2,
2,156,1,1,3,4,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,1,5,2,,2,,2,1,3,2,1,,0,,2,,6,6,400,10,0,20,400,10,0,20,2,,,,,,,,1,,2,3000,2,1,2,,,,2,,,,2,,,,,2,,,,0,0,2,1,0,0,0,0,3,4,1,1,4,1,4,
